[Tue Jan 12 17:43:41.923340 2016] [:error] [pid 1869] [client 127.0.0.1:52254] PHP Notice:  Undefined variable: now in /var/www/enbay-com-vn/app/controllers/TimetableController.php on line 20, referer: http://localhost/
[Tue Jan 12 17:43:41.923423 2016] [:error] [pid 1869] [client 127.0.0.1:52254] PHP Warning:  Attempt to assign property of non-object in /var/www/enbay-com-vn/app/controllers/TimetableController.php on line 20, referer: http://localhost/
[Tue Jan 12 18:15:27.745047 2016] [:error] [pid 1870] [client 127.0.0.1:52322] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:22:44.253886 2016] [:error] [pid 1867] [client 127.0.0.1:52362] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:22:48.173002 2016] [:error] [pid 1866] [client 127.0.0.1:52363] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:23:47.006470 2016] [:error] [pid 3441] [client 127.0.0.1:52376] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:24:28.004809 2016] [:error] [pid 1867] [client 127.0.0.1:52388] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:24:35.200335 2016] [:error] [pid 4243] [client 127.0.0.1:52390] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:25:22.500336 2016] [:error] [pid 1870] [client 127.0.0.1:52402] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:26:13.714891 2016] [:error] [pid 4243] [client 127.0.0.1:52406] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:26:14.656508 2016] [:error] [pid 4243] [client 127.0.0.1:52406] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:26:16.000470 2016] [:error] [pid 3441] [client 127.0.0.1:52407] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:26:18.386327 2016] [:error] [pid 4243] [client 127.0.0.1:52406] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:29:19.543129 2016] [:error] [pid 3441] [client 127.0.0.1:52420] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
[Tue Jan 12 18:29:23.238741 2016] [:error] [pid 1869] [client 127.0.0.1:52421] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 23
